                      Hurricanes 1980 - 2006

Year     Hurricane    Category     Pressure (mb)     Wind Speed (mph)
=====================================================================
1980         Allen        3             945            115.1
1983        Alicia        3             962            115.1
1984         Diana        3             949            115.1
1985           Bob        1            1002             74.8
1985         Danny        1             987             92.1
1985         Elena        3             959            115.1
1985        Gloria        2             942            103.6
1985          Juan        1             971             86.3
1985          Kate        2             967             97.8
1986        Bonnie        1             990             86.3
1986       Charley        1             990             74.8
1987         Floyd        1             993             74.8
1988      Florence        1             984             80.6
1989       Chantal        1             986             80.6
1989          Hugo        4             934            138.1
1989         Jerry        1             983             86.3
1991           Bob        2             962            103.6
1992        Andrew        5             922            166.9
1993         Emily        3             960            115.1
1995          Erin        2             973             97.8
1995          Opal        3             942            115.1
1996        Bertha        2             974            103.6
1996          Fran        3             954            115.1
1997         Danny        1             984             80.6
1998        Bonnie        2             964            109.3
1998          Earl        1             987             80.6
1998       Georges        2             964            103.6
1999          Bret        3             951            115.1
1999         Floyd        2             956            103.6
1999         Irene        1             987             80.6
2002          Lili        1             963             92.1
2003     Claudette        1             979             92.1
2003        Isabel        2             957            103.6
2004          Alex        1             972             80.6
2004       Charley        4             941            149.6
2004        Gaston        1             985             74.8
2004       Frances        2             960            103.6
2004          Ivan        3             946            120.8
2004        Jeanne        3             950            120.8
2005         Cindy        1             992             74.8
2005        Dennis        4             930            149.6
2005         Emily        4             929            155.4
2005         Irene        2             975             97.8
2005       Katrina        5             902            172.6
2005         Maria        3             960            115.1
2005          Nate        1             979             92.1
2005       Ophelia        1             976             92.1
2005      Phillipe        1             985             80.6
2005          Rita        5             897            172.6
2005          Stan        1             979             80.6
2005         Vince        1             987             74.8
2005         Wilma        5             882            172.6
2005          Beta        3             960            115.1
2005       Epsilon        1             979             86.3
2006       Ernesto        1             995             74.8
2006      Florence        1             972             92.1
2006        Gordon        3             955            120.8
2006        Helene        3             954            126.6
2006         Isaac        1             985             86.3
=====================================================================
